data,precip,maxima,minima,horas_insol,temp_media,um_relativa,vel_vento
28/02/1961,1.5,26.4,17.7,10.6,21.74,67.25,2.333333
01/03/1961,0,28.7,17.5,10.8,22.6,69.25,1.666667
02/03/1961,0,31.6,18,11,24.22,69.5,0.666667
03/03/1961,0,34.6,20,10,24.96,71.25,3.666667
04/03/1961,0,28.4,21.7,8.9,24.36,74.75,2.666667
05/03/1961,4.7,24,19.3,0,20.3,83.25,4
06/03/1961,0.9,24.4,17.8,9.2,20.64,61.75,3.333333
07/03/1961,0,28.1,17.8,9.1,22.62,70,1
08/03/1961,0,25.5,19.8,2.9,22.3,90.75,1
09/03/1961,4.9,32.1,19.8,8.7,25.78,79.25,1
10/03/1961,0,35.3,22,8.5,26.1,82.25,0.333333
11/03/1961,25.6,24.2,22,0,22.88,93.75,1
12/03/1961,11.1,27.8,21,0.2,23.8,92.25,0
13/03/1961,1.9,26.5,21.5,0.2,22.92,90.25,0.666667
14/03/1961,0.9,28.9,18.5,10.1,22.4,75,1
15/03/1961,0,31.2,17.7,7.9,24.18,72.75,1
16/03/1961,1.9,25.1,21,0,22.38,97,0.666667
17/03/1961,64.6,21.3,17.2,0,18.44,84.5,3.333333
18/03/1961,16.7,21.2,13,3.3,17.42,79.75,1.333333
19/03/1961,0,23.3,14.2,5.3,18.94,89.25,0.666667
20/03/1961,1.6,22.7,18.2,0,20.16,92,1
21/03/1961,11.3,27.8,18.2,9.8,21.84,82.25,1
22/03/1961,0,31.1,16.4,10.2,22.86,74.5,0.666667
23/03/1961,0,33.2,18.2,10.5,24.88,78.25,0
24/03/1961,0,34.8,19.8,9.5,26.68,73.5,0.333333
25/03/1961,16.1,27.2,20.8,0.9,22.56,92.5,0
26/03/1961,4.4,24,19.8,9.2,21.2,71.75,3.333333
27/03/1961,0.7,24.3,15.8,10.2,19.74,63.25,2.333333
28/03/1961,0,25.7,16.6,9.4,20.42,66.5,2
29/03/1961,0,27.3,16.1,9.9,21.48,68,1.333333
30/03/1961,0,28.8,17.7,9.9,22.14,69.75,1.333333
31/03/1961,0,28.5,16.6,8.1,22.26,64,1
01/04/1961,0,26.6,18,2.5,22.2,74.75,1
02/04/1961,1.6,25.9,19.7,2.4,21.78,79,1.333333
03/04/1961,0,27.7,18.3,6.9,22.16,77,0.333333
04/04/1961,5.7,27.3,19.2,5.5,22.98,79.75,0.666667
05/04/1961,0,27.3,18.8,9.6,21.78,84,1
06/04/1961,0,22,16.2,9.7,17.68,63.25,1.333333
07/04/1961,0,27.6,12.6,9.6,19.48,78.75,0
08/04/1961,0,31,15.4,9.1,23.04,74.75,0.666667
09/04/1961,0,25.6,19.9,6.1,21.5,80.5,2
10/04/1961,0,26.3,19,1.5,22.18,86.75,0.666667
11/04/1961,2.9,22.2,20.2,0,20.84,96.5,1
12/04/1961,17.7,22.8,18.8,0,20.6,88.25,0.333333
13/04/1961,8.4,21.8,17.9,0,19.82,89,0.333333
14/04/1961,0,24.7,18.1,2.3,20.72,87,2
15/04/1961,5.8,22,19,0,20.04,85,1.666667
16/04/1961,1.5,26.2,19.6,3.5,21.96,85,1.333333
17/04/1961,0,24.3,21.2,1.2,22.26,95,0
18/04/1961,3.8,24.6,19.8,6.1,21.1,80.75,2.666667
19/04/1961,1.1,21.8,15.2,9.1,18.32,67.75,1.666667
20/04/1961,0,22.1,12.8,8.5,16.86,78.25,1.666667
21/04/1961,0,26,14.4,10,19.8,75.25,0.666667
22/04/1961,0,23.8,16.8,0,19.8,82.5,0
23/04/1961,0,25,16.6,9.5,19.6,77.75,2.666667
24/04/1961,0,21.2,14.1,9.3,15.84,75.5,1.333333
25/04/1961,0,19.1,9.6,7.5,14.14,76,0.333333
26/04/1961,0,21.4,10.4,6.9,14.8,86,1
27/04/1961,0,23.5,11.6,9,17,76.75,1.666667
28/04/1961,0,21.9,13.9,6,16,81,0.666667
29/04/1961,5.9,19.5,10.4,4.2,14.62,88.25,0
30/04/1961,0,25,11.7,9.2,17.28,72.75,0
01/05/1961,0,21.7,13.4,8.8,16.74,69.25,1.666667
02/05/1961,0,23.6,13.5,8.8,17.94,81.75,1.666667
03/05/1961,0,23.2,16.4,5.3,18.88,87.5,0.666667
04/05/1961,0,25.5,14.4,9.6,19.1,81.75,1.333333
05/05/1961,0,26.2,15.6,9.2,20.04,86.25,1
06/05/1961,0,24.5,18.6,3.5,20.94,90,0.333333
07/05/1961,0,26.3,19.6,6.4,21.5,89,0
08/05/1961,7.7,20.8,15.5,0,17.08,94.5,1.666667
09/05/1961,1.8,23.8,15.1,7.1,17.58,87.75,0
10/05/1961,0,21.5,13,4.1,17.56,85.25,1.666667
11/05/1961,0,25.2,17,8.9,19.92,81,1.333333
12/05/1961,0,27.2,14.9,9.2,19.46,79.75,0
13/05/1961,0,27.2,14.4,9,19.52,81,0
14/05/1961,0,23.9,15.6,5.9,19.32,83.75,0.333333
15/05/1961,0,23.3,15.2,2.7,18.92,90.5,0
16/05/1961,3,20.3,19,0,19.3,96.5,0
17/05/1961,35.3,20.4,18.2,0,19.08,95.5,0.666667
18/05/1961,10.4,21.4,17.5,1,18.58,86.25,1
19/05/1961,0.2,18,12.2,6.2,14.04,69,3
20/05/1961,0,16.1,8.2,9.2,10.86,83,1
21/05/1961,0,20.8,6.5,9.2,12.58,87.75,0
22/05/1961,0,23.4,9,8.7,14.88,86.25,0
23/05/1961,0,24.4,11,8.8,15.84,87.75,0
24/05/1961,0,22.8,11.8,6.1,16.4,90.75,0.666667
25/05/1961,0,22,13.3,5.8,16.86,91.25,0.666667
26/05/1961,0,24.2,13.6,7.3,16.84,88.25,0
27/05/1961,0,25,11.8,8.6,16.74,84.75,0.333333
28/05/1961,0,23.8,13,5.9,17.74,84,0
29/05/1961,0,26.4,13.1,8.7,17.96,82.5,0.333333
30/05/1961,0,25.9,12.8,8.7,17.46,82.5,0.666667
31/05/1961,0,27.6,11.9,8.8,18.96,68.75,1.666667
01/06/1961,0,21.2,15.2,0,17.84,83,1.333333
02/06/1961,1.8,22.8,14.7,8.6,18.36,83,2
03/06/1961,0,28.2,15.4,7.7,21.36,66,1
04/06/1961,0,26.1,14.6,0.3,18.7,86.75,1.333333
05/06/1961,37.1,16.2,13.5,0,15.06,83.5,3
06/06/1961,0.4,24.5,15.5,8.8,19.64,85.5,1
07/06/1961,0,28.9,15.5,8,21.52,78.25,0.666667
08/06/1961,0,29.6,16.4,8.8,21.6,78.75,1
09/06/1961,0,27.4,17.6,6.2,20.64,81.25,0.333333
10/06/1961,34.1,19.7,14.8,0,16.42,95,2.666667
11/06/1961,29.3,15.3,12.6,0.2,13.82,85,2.333333
12/06/1961,0.4,14.1,11,0,12.22,96.5,2.333333
13/06/1961,4.8,12.4,9.2,0,10.12,92,2.666667
14/06/1961,7,11.3,6.4,8.6,7.82,72.5,2
15/06/1961,0,11.8,3.8,8.6,7.02,73.25,3
16/06/1961,0,12.5,1.4,8.5,5.88,80.25,1
17/06/1961,0,16.4,0.8,7.8,7.56,86,0.333333
18/06/1961,0,16.5,3.5,1.9,9.94,90.25,0
19/06/1961,1.1,17.3,11.3,1.4,13.54,94.25,0
20/06/1961,29.9,15.2,13,0,13.96,96.75,0.666667
21/06/1961,0.1,18.2,13.5,2,15.16,93.75,0
22/06/1961,0,20.9,13.2,6.5,15.66,90.75,0.333333
23/06/1961,0.1,16.5,12.4,1.5,13.82,97.75,0
24/06/1961,0.2,20.7,10.8,6.6,13.98,90.5,0
25/06/1961,0,25.2,9.4,8.5,16,86.75,0
26/06/1961,0,28.7,13.4,7.4,20.78,65.25,1.333333
27/06/1961,0,29.9,16.6,8.1,22.38,64.5,1
28/06/1961,0,29.4,16.6,6.7,21.8,75.25,1.333333
29/06/1961,23.8,22.1,13.1,0,16.52,98,0
30/06/1961,68,20,16.4,0,18.24,93.25,1
01/07/1961,0.2,25.3,15,5.8,18.82,91,0
02/07/1961,0,19,14.7,0,15.82,85.25,2.666667
03/07/1961,8.7,15.1,12.8,0.2,13.78,85.25,0.333333
04/07/1961,0,23,13,7.3,17.78,81.25,0.666667
05/07/1961,0,27.3,13.4,8.4,18.54,85.25,0
06/07/1961,0,25.2,13.7,2.5,16.66,85.5,1.333333
07/07/1961,5.8,13.9,10.6,0,12.14,90.5,1.333333
08/07/1961,16.9,14.5,11,2.9,11.98,81.25,2.666667
09/07/1961,0,13.2,9.3,0,10.98,80.75,0.333333
10/07/1961,0,20.2,8,7.1,13.6,84.75,0.333333
11/07/1961,0,22.6,11.2,8.9,15.84,85.25,0.666667
12/07/1961,0,25.3,14.8,7.6,18.62,83.25,0
13/07/1961,2,22,15.5,5.1,17.7,90,2
14/07/1961,1.8,17.5,14.2,0.2,14.96,87,1.666667
15/07/1961,5.6,20.7,13.8,0.6,17.1,93.75,0
16/07/1961,0.6,21,15.5,0.8,17.7,94.5,0.333333
17/07/1961,4,19.7,14.6,0,16.94,94.5,0
18/07/1961,0.1,23.4,13.2,8.7,17.24,87,0
19/07/1961,0,29.5,13.4,8.7,20.66,72.5,0.666667
20/07/1961,0,30.5,14.5,9.2,21.96,58.75,0.666667
21/07/1961,0,24.1,16.1,0,18.6,89.75,1.333333
22/07/1961,8.1,19.2,10.6,9.3,13.44,72.5,1.666667
23/07/1961,0,21.7,8.8,8.7,13.56,80.25,0.333333
24/07/1961,0,23.8,9.8,8.4,16,79.5,0.333333
25/07/1961,0,27.4,13.4,4.4,17.16,84.75,3
26/07/1961,3.1,15.1,8.4,5.2,10.1,77.25,1.333333
27/07/1961,0,14,6.8,9,9.12,81.75,1.666667
28/07/1961,0,12.9,3.5,8.6,7.36,81.5,0.666667
29/07/1961,0,16.7,3,8.6,9.78,83.25,1
30/07/1961,0,19.9,8.5,6.5,12.96,87.25,0.333333
31/07/1961,0,14.4,10.4,0,12.6,91.25,0
01/08/1961,0,19.4,11.9,4.4,14.86,83.25,3.333333
02/08/1961,0,21.4,12.7,6.8,15.62,89,0
03/08/1961,0,22.6,11.5,7.3,15.3,90.75,0
04/08/1961,0.1,23.7,11,7.4,16.08,85.75,0
05/08/1961,0.1,26.7,11.4,7.5,17.42,84.75,0
06/08/1961,0,29.7,12.5,7.4,19.82,74.75,0
07/08/1961,0,20.9,15.2,3.2,17.74,81.5,2.333333
08/08/1961,0,23,16.2,8.6,18.4,81.5,2.666667
09/08/1961,0,24.5,14.2,7,17.78,89.25,1.333333
10/08/1961,0,26.1,13.2,9,18.4,83,0
11/08/1961,0,18.8,16,0,17.22,88,2.666667
12/08/1961,0,24.8,13.8,8.7,18.32,89,0
13/08/1961,0,26.6,16.2,7.5,20.28,74.25,0.333333
14/08/1961,0.1,21.5,13.1,9.1,15.2,77.25,1.333333
15/08/1961,0,20,10,6.2,15.36,84.75,2
16/08/1961,22.7,20,14.6,6.4,16.28,81,0.666667
17/08/1961,0,21.8,9.3,9.2,14.7,75,0.333333
18/08/1961,0,24.7,9.9,9.3,15.96,77.25,0.333333
19/08/1961,0,20.8,12.3,2.1,16.42,88.5,2.333333
20/08/1961,8.1,23.1,15.6,5.3,18.2,91,0.333333
21/08/1961,1.3,18.7,15.8,1.1,16.7,87.25,2
22/08/1961,0,25.7,13.8,9.7,18.5,82,0.333333
23/08/1961,14.6,21.6,15.8,3,17.44,83.5,1.333333
24/08/1961,0,24.7,13.6,4.4,19.74,78.25,0.666667
25/08/1961,10.9,23.3,14.8,0,17.22,87.5,3
26/08/1961,6.1,21,9.7,9.9,15.22,79.25,1.333333
27/08/1961,0,33.8,14.7,8.1,25.38,57.75,4
28/08/1961,0,26.8,17.7,9.2,20.86,90.25,2.333333
29/08/1961,0,34.9,18.2,7.8,24.5,63,2.333333
30/08/1961,24.2,23.5,16.6,10,18.58,65.75,2.666667
31/08/1961,0,18.7,10.4,7.6,14.66,69.25,1
01/09/1961,0,23.2,12.8,6.5,17.64,80.5,1.333333
02/09/1961,0,24.4,18,1.1,20.34,83.5,1
03/09/1961,2.4,21.6,18.2,1.3,19.44,94.5,1
04/09/1961,52.8,19.2,13,0,14.54,94.25,1.666667
05/09/1961,35.7,13,10.6,0,11.6,96.75,0
06/09/1961,19.5,15.2,11.2,0,13.7,64.75,3.333333
07/09/1961,0,19.7,12.4,8.4,16.14,63.5,4.333333
08/09/1961,1.7,20.8,13.9,5.9,16.9,82.75,3
09/09/1961,5.8,23.3,15.8,3.6,18.78,83.75,1.666667
10/09/1961,1,18.4,11,2.2,14.32,85,0
11/09/1961,0,19.1,9.4,2.9,15.18,82,2.333333
12/09/1961,0,23.8,14.3,9.7,17.38,80.5,1.666667
13/09/1961,0,22.4,14.8,1.7,19.48,81.75,1
14/09/1961,3.8,27.4,17,1.4,21.92,80.5,0.333333
15/09/1961,5.1,23.3,16,0,18.66,94.75,2.333333
16/09/1961,0,24.6,18.6,2.6,20.74,90.25,2
17/09/1961,0,22.6,19.2,0,20.06,86.25,2
18/09/1961,0.3,19.3,16.1,0,17.28,93.25,2.333333
19/09/1961,1,18,15.8,0,17.12,89.75,2.333333
20/09/1961,13.5,24.5,16,5.9,18.98,85.25,1.666667
21/09/1961,12.7,20.4,17.2,0,18.12,88.25,2
22/09/1961,0,19.2,16.1,1.4,17.14,72,3.666667
23/09/1961,0,23.7,14.5,10.4,18.9,73.25,3.666667
24/09/1961,5.8,23.6,17.4,1.2,19.64,88,1.333333
25/09/1961,0,28.7,17,7.9,22.34,82,0.333333
26/09/1961,32.8,24.5,18.4,0,19.76,90.75,1
27/09/1961,22.5,24.2,17.8,2.5,20.12,88.5,1.333333
28/09/1961,6.8,20.2,12.9,0,15.38,93.25,6.333333
29/09/1961,27.2,17.2,12.6,0.5,13.52,88.5,1.333333
30/09/1961,2.4,22,10.8,10.1,15.62,78.5,1.666667
01/10/1961,0,26.4,10.8,10.6,18.46,74.75,0.333333
02/10/1961,0,30.8,14.1,10.6,22.22,64.75,1.666667
03/10/1961,0,24.9,17,10,20.8,84,3.333333
04/10/1961,0,30.2,18.8,11,23.48,74.5,0
05/10/1961,0,30.7,18.3,9.7,24.08,81,0
06/10/1961,12,27.4,20,4.6,21.88,93,2
07/10/1961,18.1,20.2,18.6,0,19.6,95.75,1.333333
08/10/1961,23.5,24.8,19.6,8.5,21,84,5
09/10/1961,0,26.8,19.4,10.2,22.48,81.25,2.333333
10/10/1961,11.6,22.2,19,0,20.12,92,1.333333
11/10/1961,8.4,25.3,18,2,20.94,91,0.333333
12/10/1961,7.6,28.2,19.4,6.2,22.08,79.75,0.333333
13/10/1961,0,26.2,17.4,7,21.92,83,3.333333
14/10/1961,3.8,27,18.8,4.4,21.14,71.25,3
15/10/1961,4.7,21.6,16.6,3.3,18.36,74.25,2
16/10/1961,0,24.2,17.2,10.7,20.12,72,5.666667
17/10/1961,3.6,24,17.8,1.1,20.66,84.75,1
18/10/1961,0,25.3,18.1,10.7,20.8,70,1.666667
19/10/1961,0,27.6,14,8.3,21.32,75.75,2
20/10/1961,31.5,25,20.2,1.7,21.9,94.25,3.333333
21/10/1961,25.9,21.9,16,0,18.26,95,1
22/10/1961,2,21.3,14.5,8,17.88,74,4.333333
23/10/1961,0,24.9,15.4,5.6,20.14,76,2.666667
24/10/1961,0,23.5,17.7,1,20.84,89.5,0
25/10/1961,19.7,25,18.7,2.7,21.84,83,2
26/10/1961,0,29.6,18.2,10.5,22.68,74.25,0.666667
27/10/1961,0,32.2,16.8,11.3,24.16,55.5,0.666667
28/10/1961,0,31.9,17,11.3,23.5,68,2.333333
29/10/1961,0,30.6,18.3,11.1,23.52,76.75,0.333333
30/10/1961,0,29.6,19.3,4.9,23.54,83,0.333333
31/10/1961,10.1,24.6,20,1.2,21.84,87.75,3.333333
01/11/1961,12.1,27.5,20.6,2.9,24.18,82.75,1
02/11/1961,0,31.4,21.8,10.3,25.56,74.25,1.333333
03/11/1961,0,31.2,21.6,10.2,25.8,76.25,1
04/11/1961,0,29.6,21.4,4.9,23.92,79,3
05/11/1961,16.2,22,16.2,0,17.84,90.25,3
06/11/1961,7.3,22.3,15.6,11.1,18.42,71.25,1.666667
07/11/1961,0,26.7,12,11,19.18,69,0.666667
08/11/1961,0,26.8,13.6,11.1,19.96,69.5,2
09/11/1961,0,28.3,17.2,10.1,22.46,74.5,2
10/11/1961,0,24.6,20.3,3.2,21.82,77,1.666667
11/11/1961,0,23.3,17.5,9.9,19.32,70.25,1.666667
12/11/1961,0,23.5,15.2,10.5,19.14,68,1
13/11/1961,0,27.5,13.8,8.8,21.16,70,2
14/11/1961,7.3,26.1,17.7,5.4,20.8,68,0.666667
15/11/1961,0.5,28.8,15,10.9,22.4,62.5,0.333333
16/11/1961,0,27.2,17.1,11.3,21.46,65,3
17/11/1961,0,29.3,16.8,11.4,22.34,66.5,2
18/11/1961,0,32.3,18,11.4,24.68,59.25,2.333333
19/11/1961,0,34.1,19.8,8.3,25.26,70.5,2.333333
20/11/1961,4.9,26.1,21.6,1.4,22.94,84,0.666667
21/11/1961,0.2,29.4,19.9,9.3,23.66,75.25,3
22/11/1961,0.9,25.8,20.7,0,22.82,89.75,1
23/11/1961,1.5,31.6,20.8,10.9,24.72,76.25,1
24/11/1961,0,31.9,20.1,7.3,24.4,79.5,0.666667
25/11/1961,4.6,31.7,21.5,8,25.72,79,1.333333
26/11/1961,0,26.9,22.6,4,24.32,87.5,0.666667
27/11/1961,8,29.3,18.6,12.2,22.98,72.5,3
28/11/1961,0,31.5,20.8,7.3,24.42,78.5,0.666667
29/11/1961,10.9,29.3,21,8.2,24.06,82,1.666667
30/11/1961,18.4,29.7,20.1,7.9,24.16,77,2.666667
01/12/1961,15.3,29.2,20.2,3.6,24.6,78.5,0.666667
02/12/1961,0,26.3,22.2,8,23.46,82.75,1.333333
03/12/1961,9,25,19.2,11.9,20.96,61.25,4.333333
04/12/1961,0,25.6,14,11.4,20.1,57.25,2.666667
05/12/1961,0,26.8,16.8,12.1,21.36,59.75,3.333333
06/12/1961,0,28,18.4,12.2,22.62,63,3.333333
07/12/1961,0,30.8,17.8,12.2,23.72,63,0.333333
08/12/1961,0,32.6,18,11.4,24.98,60.5,1.333333
09/12/1961,0,34.2,21.6,9.7,26.32,66.5,1.666667
10/12/1961,0,30.2,22.4,3,25.16,80.5,0
11/12/1961,0,32.4,22.4,10.6,26.18,77.25,1.333333
12/12/1961,0,30.8,22.6,11.9,25.12,72.75,2.666667
13/12/1961,0,29,20.7,10.9,23.5,69.5,3
14/12/1961,0,32.4,19.5,12.2,25.26,68,2.666667
15/12/1961,0,34.2,20.3,12.1,26.9,65.75,2
16/12/1961,0,35.3,24,10.9,27.86,70,1.666667
17/12/1961,3.4,30.1,23.2,5.7,25.42,77.75,2
18/12/1961,5.2,30.8,22.2,11.6,25.84,75.5,2
19/12/1961,0,35.3,21.5,11.9,28.18,70.25,0.666667
20/12/1961,0,29.7,22.6,2.9,25.26,81.75,0.666667
21/12/1961,29,23.2,20.4,0,21.2,91.25,3.666667
22/12/1961,0.2,31.2,20.6,6.5,24.48,81.5,0.333333
23/12/1961,26.5,28.8,22.1,3.4,23.74,71.5,1.666667
24/12/1961,27.2,27.1,16.5,12.3,21.6,58.25,1
25/12/1961,0,29.6,15.9,12.3,22.66,50.75,1.666667
26/12/1961,0,29.9,16.4,12.1,23.9,68.25,3.333333
27/12/1961,0,33.3,22,12,27.42,63,0.333333
28/12/1961,0,33.9,22,9.4,25.28,74.75,2.333333
29/12/1961,18.3,24.5,20.6,5.4,21.94,74.75,3.666667
30/12/1961,0,25.2,16.6,9.9,20.64,60.5,3.333333
31/12/1961,0,27.3,15.7,12.2,21.96,60.25,4.666667
01/01/1962,0,30.1,19.9,7.2,24.7,66.5,2.333333
02/01/1962,0.2,25.4,22,0.9,23.04,84,1.333333
03/01/1962,1.1,27.2,18.6,12.2,22.32,54,3
04/01/1962,0,28.6,14.8,12.4,21.84,53.75,1.333333
05/01/1962,0,33.3,16.4,12.2,25.22,51,0.666667
06/01/1962,0,34.8,21.2,12.1,26.82,61.25,0.666667
07/01/1962,0,29.2,22.4,4.7,25.34,76.25,0.666667
08/01/1962,0.1,31.8,21,10.3,25.44,73.25,1.333333
09/01/1962,0,33.8,21,12.2,27.04,67.25,1
10/01/1962,0,28.1,22.6,11.2,24.42,72.25,3.333333
11/01/1962,0,29.3,18.6,10.8,23.72,66.5,5
12/01/1962,0,30.3,21.2,9.7,24.54,72.25,3.333333
13/01/1962,0,33.6,21.6,12.1,27.12,72.75,2.666667
14/01/1962,35.5,27.2,22.4,0,23.52,91.75,2
15/01/1962,19.1,23.6,16.4,12.3,19.52,61.5,1.666667
16/01/1962,0,25.5,13.2,11.6,19.94,60.25,1.333333
17/01/1962,0,29.3,15.6,12.3,22.46,64,1
18/01/1962,0,30.6,18,11.2,24.04,69.75,0.666667
19/01/1962,0,28.4,20.2,10.4,23.94,73.75,3
20/01/1962,0,29.2,20.2,9.6,24.06,65.5,4.333333
21/01/1962,0,28.5,22.1,5.2,24.24,73.75,1
22/01/1962,0,33.8,20.8,9,26.56,64,1.333333
23/01/1962,1,29.5,21.8,7,26.34,70.5,1.666667
24/01/1962,0,28,24,4.3,24.94,75.5,1.666667
25/01/1962,0,27.5,18.2,7.8,22.66,71.5,2.666667
26/01/1962,0.1,26.2,20.4,10.1,22.2,76,6.333333
27/01/1962,0,28.6,19,11.1,23.24,61.5,3.666667
28/01/1962,0,29.6,17.8,10.6,23.48,64.5,2.666667
29/01/1962,0,30.3,19.6,10.4,24.3,68.5,3.666667
30/01/1962,0,29.2,21,10.4,24.06,69,4
31/01/1962,0,26.3,20.2,3.9,22.82,70.25,3.333333
01/02/1962,0,29.2,18.4,11,23.4,61.25,2.333333
02/02/1962,0,30.7,19.6,10.7,24.54,69.75,3
03/02/1962,0,25.8,21.6,0,23.08,88.5,0.666667
04/02/1962,9.4,25.7,20,3.6,21.94,87,3
05/02/1962,5.7,27.4,18.6,11,22.84,73.5,2
06/02/1962,0,26.2,18.5,5.8,21.5,83.25,2.333333
07/02/1962,0,27.1,17.4,8.9,21.42,75.25,0.666667
08/02/1962,0,25.8,17.6,7.3,21.9,70,0.333333
09/02/1962,0,28,19.6,10.3,22.72,73,2.666667
10/02/1962,0,28.4,18,9.6,23.12,68.75,3.333333
11/02/1962,0,28.9,20.4,5.4,23.86,74,5
12/02/1962,0,29.6,22,8.9,24.78,75.5,1.666667
13/02/1962,0,29.5,20.2,9.9,24.14,72.25,1.666667
14/02/1962,0,32.5,19.2,11,25.74,75.5,1.333333
15/02/1962,5.2,29.7,20.6,5.7,24.24,80.75,1.333333
16/02/1962,8.8,34.7,19.8,11.2,26.14,61,0.666667
17/02/1962,0,28.5,21.4,0,23.66,87.75,1.333333
18/02/1962,9.4,24.7,19.6,7,20.96,67.75,3.333333
19/02/1962,0,25.6,12.6,11.5,19.4,57,1.333333
20/02/1962,0,32.8,14,10.8,23.48,65.5,1.333333
21/02/1962,0,31.3,22.2,6.7,26.18,60.5,2.333333
22/02/1962,0,33.1,21,10.5,26.12,64.75,1.333333
23/02/1962,0,25.8,21.2,4.7,22.48,66.5,4
24/02/1962,0,27.1,17.2,10.8,21.54,55.75,0.666667
25/02/1962,0,25.8,15.1,11.1,19.62,59.5,2.666667
26/02/1962,0,25.2,14.6,11.4,19.28,62,2
27/02/1962,0,29,15.4,11,22.2,65,5.333333
28/02/1962,0,27.3,19.5,0.2,22.56,74.5,2.333333
01/03/1962,0,30.4,21,5.8,25.4,68,1.333333
02/03/1962,0,31.2,19,10.7,23.96,73,3
03/03/1962,0,32.6,18.5,10.6,24.5,72.25,2
04/03/1962,0,34.4,21.3,8,25.9,73.75,0.666667
05/03/1962,3.4,33.1,21.2,9.4,24.82,74,1
06/03/1962,1.5,30.8,21.3,10.9,24.56,69.5,1.333333
07/03/1962,0,34.5,17.6,10.9,24.86,54,2.333333
08/03/1962,0,30.3,19,10.9,23.46,63,1.333333
09/03/1962,0,36,19.1,8.1,25.42,73.5,1.666667
10/03/1962,36.4,24.8,21.1,2.2,22.26,85.75,2.666667
